TargetName	HUGOSymbol	TargetGroup	AnalyteType	Codeclass	Pooling	CorrelationToNegatives	GlobalOutliers
ALDOA	ALDOA	All Probes;Neutrophil degranulation;Metabolism of carbohydrates;Platelet activation, signaling and aggregation	RNA	Endogenous	01	0.347121623772007	0
ALDOC	ALDOC	All Probes;Neutrophil degranulation;Metabolism of carbohydrates	RNA	Endogenous	01	0.515792769342183	0
ALK	ALK	All Probes	RNA	Endogenous	01	0.931802254630368	0
ALKBH2	ALKBH2	All Probes;DNA Repair	RNA	Endogenous	01	0.757486447503018	0
ALKBH3	ALKBH3	All Probes;DNA Repair	RNA	Endogenous	01	0.696976027908435	0
AMBP	AMBP	All Probes;Vesicle-mediated transport	RNA	Endogenous	01	0.883575543673854	0
AMER1	AMER1	All Probes;Diseases of signal transduction;Signaling by WNT	RNA	Endogenous	01	0.853334847797135	0
ANGPT1	ANGPT1	All Probes;FLT3 Signaling;MAPK family signaling cascades;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.69917019750546	0
ANGPT2	ANGPT2	All Probes;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.797811447417773	0
ANGPTL4	ANGPTL4	All Probes;Transcriptional regulation of white adipocyte differentiation;Metabolism of lipids;Transport of small molecules	RNA	Endogenous	01	0.832360110254473	0
ANLN	ANLN	All Probes	RNA	Endogenous	01	0.684533040762995	0
ANP32B	ANP32B	All Probes	RNA	Endogenous	01	0.836975271145512	0
ANXA1	ANXA1	All Probes;Muscle contraction;Interleukin-4 and Interleukin-13 signaling;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.682056594443127	0
APC	APC	All Probes;Post-translational protein modification;Diseases of signal transduction;Signaling by WNT;Programmed Cell Death	RNA	Endogenous	01	0.924619325797357	0
APH1B	APH1B	All Probes;Signaling by ERBB4;Signaling by NOTCH;Diseases of signal transduction;Death Receptor Signalling;Axon guidance;Amyloid fiber formation	RNA	Endogenous	01	0.87694411146057	0
API5	API5	All Probes	RNA	Endogenous	01	0.671855613074947	0
APOL6	APOL6	All Probes	RNA	Endogenous	01	0.870507323497924	0
APP	APP	All Probes;Protein localization;Post-translational protein modification;Interleukin-1 family signaling;DDX58/IFIH1-mediated induction of interferon-alpha/beta;Vesicle-mediated transport;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;GPCR ligand binding;Toll-like Receptor Cascades;Amyloid fiber formation;GPCR downstream signalling;Platelet activation, signaling and aggregation;Extracellular matrix organization	RNA	Endogenous	01	0.331893134248525	0
AR	AR	All Probes;Signaling by Rho GTPases;Cellular responses to external stimuli;Post-translational protein modification;Transcriptional regulation by RUNX2	RNA	Endogenous	01	0.874013708869982	0
AREG	AREG	All Probes;FLT3 Signaling;Intracellular signaling by second messengers;Signaling by Nuclear Receptors;Post-translational protein modification;Diseases of signal transduction;MAPK family signaling cascades;Signaling by EGFR;Vesicle-mediated transport	RNA	Endogenous	01	0.325626933173565	0
ARG2	ARG2	All Probes;Metabolism of amino acids and derivatives	RNA	Endogenous	01	0.707419341793035	0
ARID1A	ARID1A	All Probes;Chromatin modifying enzymes;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.590813627397357	0
ARID1B	ARID1B	All Probes;Chromatin modifying enzymes;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.724247242149636	0
ARID2	ARID2	All Probes;Chromatin modifying enzymes;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.718535555429545	0
ARNT2	ARNT2	All Probes;Metabolism of lipids	RNA	Endogenous	01	0.890638509237548	0
ATF1	ATF1	All Probes;Interleukin-17 signaling;Signaling by NTRKs;Toll-like Receptor Cascades	RNA	Endogenous	01	0.778893236776495	0
ATF2	ATF2	All Probes;Intracellular signaling by second messengers;Organelle biogenesis and maintenance;Interleukin-17 signaling;Transcriptional Regulation by TP53;Chromatin modifying enzymes;Signaling by Nuclear Receptors;Circadian Clock;Toll-like Receptor Cascades	RNA	Endogenous	01	0.729700176372676	0
ATF3	ATF3	All Probes;Unfolded Protein Response (UPR)	RNA	Endogenous	01	0.474249420430537	0
ATG10	ATG10	All Probes;Autophagy	RNA	Endogenous	01	0.922390829782273	0
ATG12	ATG12	All Probes;DDX58/IFIH1-mediated induction of interferon-alpha/beta;Autophagy	RNA	Endogenous	01	0.888221171886009	0.333333333333333
ATG5	ATG5	All Probes;DDX58/IFIH1-mediated induction of interferon-alpha/beta;Autophagy	RNA	Endogenous	01	0.793278019512346	0
ATG7	ATG7	All Probes;Neutrophil degranulation;Diseases of signal transduction;Class I MHC mediated antigen processing & presentation;Autophagy	RNA	Endogenous	01	0.921506974791417	0
ATM	ATM	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;DNA Repair	RNA	Endogenous	01	0.791303221482914	0
ATR	ATR	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;DNA Repair	RNA	Endogenous	01	0.691418885235992	0
ATRX	ATRX	All Probes	RNA	Endogenous	01	0.583047453775597	0
AXIN1	AXIN1	All Probes;Signaling by Nuclear Receptors;Post-translational protein modification;Diseases of signal transduction;Signaling by WNT;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.59922864532316	0
B2M	B2M	All Probes;Neutrophil degranulation;Interferon Signaling;DAP12 interactions;Class I MHC mediated antigen processing & presentation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Amyloid fiber formation	RNA	Endogenous	01	0.86033580568146	0
BAIAP3	BAIAP3	All Probes	RNA	Endogenous	01	0.78868995685646	0
BAMBI	BAMBI	All Probes;Signaling by TGF-beta family members	RNA	Endogenous	01	0.124044925924223	0
BAP1	BAP1	All Probes;DNA Repair;Post-translational protein modification	RNA	Endogenous	01	0.867495251462692	0
BAX	BAX	All Probes;Transcriptional Regulation by TP53;Transcriptional regulation by RUNX2;Programmed Cell Death;Signaling by NTRKs	RNA	Endogenous	01	0.533265870485815	0
BBC3	BBC3	All Probes;Transcriptional Regulation by TP53;Programmed Cell Death;FOXO-mediated transcription	RNA	Endogenous	01	0.622706502646634	0
BBS1	BBS1	All Probes;Organelle biogenesis and maintenance	RNA	Endogenous	01	0.549839967818719	0
BCAT1	BCAT1	All Probes;Metabolism of amino acids and derivatives	RNA	Endogenous	01	0.71348381460323	0
BCL10	BCL10	All Probes;TCR signaling;C-type lectin receptors (CLRs);Fc epsilon receptor (FCERI) signaling;Post-translational protein modification;Signaling by the B Cell Receptor (BCR)	RNA	Endogenous	01	0.854217776100024	0
BCL2A1	BCL2A1	All Probes	RNA	Endogenous	01	0.759167650158868	0
BCL2L1	BCL2L1	All Probes;Interleukin-4 and Interleukin-13 signaling;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Programmed Cell Death	RNA	Endogenous	01	0.375344305731759	0
BCL6	BCL6	All Probes;Transcriptional Regulation by TP53;Interleukin-4 and Interleukin-13 signaling;FOXO-mediated transcription	RNA	Endogenous	01	0.795916657178642	0
BCL6B	BCL6B	All Probes	RNA	Endogenous	01	0.867621023811615	0
BCOR	BCOR	All Probes	RNA	Endogenous	01	0.593146789852372	0
BDNF	BDNF	All Probes;Signaling by NTRKs	RNA	Endogenous	01	0.918562805531766	0
BID	BID	All Probes;Transcriptional Regulation by TP53;Programmed Cell Death	RNA	Endogenous	01	0.924164676314958	0
BIRC3	BIRC3	All Probes;Post-translational protein modification;Death Receptor Signalling;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Programmed Cell Death;Toll-like Receptor Cascades;TNFR2 non-canonical NF-kB pathway	RNA	Endogenous	01	0.629750624592142	0
BIRC5	BIRC5	All Probes;Cell Cycle;Signaling by Rho GTPases;Transcriptional Regulation by TP53;Post-translational protein modification;Interleukin-4 and Interleukin-13 signaling	RNA	Endogenous	01	0.803510454901018	0
BLM	BLM	All Probes;Cell Cycle;Transcriptional Regulation by TP53;DNA Repair;Post-translational protein modification	RNA	Endogenous	01	0.894663585678761	0
BLNK	BLNK	All Probes;Signaling by the B Cell Receptor (BCR)	RNA	Endogenous	01	0.836556140169489	0
BMP6	BMP6	All Probes	RNA	Endogenous	01	0.882926037591771	0
BMP7	BMP7	All Probes;Extracellular matrix organization	RNA	Endogenous	01	0.916673453483437	0
BMP8A	BMP8A	All Probes	RNA	Endogenous	01	0.83960332271341	0
BMPR1B	BMPR1B	All Probes;Signaling by TGF-beta family members	RNA	Endogenous	01	0.853696057188648	0
BNIP3L	BNIP3L	All Probes;Transcriptional Regulation by TP53	RNA	Endogenous	01	0.881545761332767	0
BRAF	BRAF	All Probes;FLT3 Signaling;Diseases of signal transduction;MAPK family signaling cascades;Signaling by FGFR;Signaling by NTRKs	RNA	Endogenous	01	0.764302705434789	0
BRCA1	BRCA1	All Probes;Cell Cycle;Transcriptional Regulation by TP53;DNA Repair;Post-translational protein modification	RNA	Endogenous	01	0.896931144150794	0
BRCA2	BRCA2	All Probes;Cell Cycle;DNA Repair	RNA	Endogenous	01	0.911918836235962	0
BRD3	BRD3	All Probes	RNA	Endogenous	01	0.901578274318156	0
BRD4	BRD4	All Probes	RNA	Endogenous	01	0.731116235730792	0
BRIP1	BRIP1	All Probes;Cell Cycle;Transcriptional Regulation by TP53;DNA Repair	RNA	Endogenous	01	0.911366306025862	0
BST1	BST1	All Probes;Metabolism of vitamins and cofactors;Neutrophil degranulation;Post-translational protein modification	RNA	Endogenous	01	0.880631802082009	0
BST2	BST2	All Probes;Neutrophil degranulation;Interferon Signaling	RNA	Endogenous	01	0.384290290572637	0
BTK	BTK	All Probes;Signaling by Rho GTPases;Fc epsilon receptor (FCERI) signaling;DAP12 interactions;Class I MHC mediated antigen processing & presentation;Signaling by the B Cell Receptor (BCR);Toll-like Receptor Cascades;GPCR downstream signalling	RNA	Endogenous	01	0.811323032287341	0
C1QBP	C1QBP	All Probes;Programmed Cell Death	RNA	Endogenous	01	0.486028678958728	0
C1R	C1R	All Probes;Complement cascade	RNA	Endogenous	01	0.701484697812912	0
C3	C3	All Probes	RNA	Endogenous	01	0.534258250937494	0
C3AR1	C3AR1	All Probes;Neutrophil degranulation;Complement cascade;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.811303031770417	0
C4BPA	C4BPA	All Probes;Complement cascade	RNA	Endogenous	01	0.207656299940116	0
C5	C5	All Probes;Complement cascade;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.301483637775903	0
C5AR1	C5AR1	All Probes;Neutrophil degranulation;Complement cascade;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.661495447293696	0
C6	C6	All Probes	RNA	Endogenous	01	0.810408134435135	0
C8A	C8A	All Probes;Complement cascade	RNA	Endogenous	01	0.920058034134593	0
C8B	C8B	All Probes;Complement cascade	RNA	Endogenous	01	0.923660722773125	0
C9	C9	All Probes	RNA	Endogenous	01	0.910578551143682	0
CACNA1C	CACNA1C	All Probes;Muscle contraction;Axon guidance	RNA	Endogenous	01	0.916361720742593	0
CACNA1E	CACNA1E	All Probes;Neuronal System	RNA	Endogenous	01	0.905096045943412	0
CACNA1G	CACNA1G	All Probes;Axon guidance	RNA	Endogenous	01	0.921193778499051	0
CACNA1H	CACNA1H	All Probes;Axon guidance	RNA	Endogenous	01	0.746176634238967	0
CACNA2D2	CACNA2D2	All Probes;Muscle contraction;Neuronal System	RNA	Endogenous	01	0.298898322289361	0
CACNA2D4	CACNA2D4	All Probes;Muscle contraction	RNA	Endogenous	01	0.920204995416658	0
CACNB2	CACNB2	All Probes;Muscle contraction;Neuronal System;Axon guidance	RNA	Endogenous	01	0.907705941530057	0
CACNB3	CACNB3	All Probes;Muscle contraction;Neuronal System;Axon guidance	RNA	Endogenous	01	0.63257230014794	0
CACNB4	CACNB4	All Probes;Muscle contraction;Neuronal System;Axon guidance	RNA	Endogenous	01	0.760663833595987	0
CACNG1	CACNG1	All Probes;Muscle contraction	RNA	Endogenous	01	0.89540289509038	0
CACNG4	CACNG4	All Probes;Muscle contraction;Neuronal System	RNA	Endogenous	01	0.80764382095016	0
CACNG6	CACNG6	All Probes;Muscle contraction	RNA	Endogenous	01	0.885394803652611	0
CALML3	CALML3	All Probes	RNA	Endogenous	01	0.931264179825555	0
CALML6	CALML6	All Probes	RNA	Endogenous	01	0.91503540715028	0
CAMK2B	CAMK2B	All Probes;FLT3 Signaling;Intracellular signaling by second messengers;Muscle contraction;Cellular responses to external stimuli;Diseases of signal transduction;Interferon Signaling;MAPK family signaling cascades;Transport of small molecules;Neuronal System;GPCR downstream signalling	RNA	Endogenous	01	0.648415634761651	0
CAMP	CAMP	All Probes;Neutrophil degranulation;Antimicrobial peptides	RNA	Endogenous	01	0.926290152200709	0
CAPN2	CAPN2	All Probes;Extracellular matrix organization	RNA	Endogenous	01	0.328308453081853	0
CARD11	CARD11	All Probes;TCR signaling;C-type lectin receptors (CLRs);Fc epsilon receptor (FCERI) signaling;Signaling by the B Cell Receptor (BCR)	RNA	Endogenous	01	0.764746644646802	0
CARD9	CARD9	All Probes;C-type lectin receptors (CLRs);Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	RNA	Endogenous	01	0.896642790362503	0
CASP1	CASP1	All Probes;Transcriptional Regulation by TP53;Interleukin-1 family signaling;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	RNA	Endogenous	01	0.869999501868268	0
CASP10	CASP10	All Probes;Transcriptional Regulation by TP53;DDX58/IFIH1-mediated induction of interferon-alpha/beta;Death Receptor Signalling	RNA	Endogenous	01	0.837237806802599	0
CASP12	CASP12	All Probes	RNA	Endogenous	01	0.922225655329361	0
CASP3	CASP3	All Probes;Other interleukin signaling;Death Receptor Signalling;Programmed Cell Death;Extracellular matrix organization	RNA	Endogenous	01	0.862771383320106	0
CASP7	CASP7	All Probes;Programmed Cell Death	RNA	Endogenous	01	0.864936993110261	0
CASP8	CASP8	All Probes;C-type lectin receptors (CLRs);DDX58/IFIH1-mediated induction of interferon-alpha/beta;Death Receptor Signalling;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Programmed Cell Death;Toll-like Receptor Cascades	RNA	Endogenous	01	0.823872347654532	0
CASP9	CASP9	All Probes;Intracellular signaling by second messengers;Diseases of signal transduction;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Programmed Cell Death	RNA	Endogenous	01	0.736435181715698	0.333333333333333
CBL	CBL	All Probes;Interleukin-6 family signaling;Diseases of signal transduction;Signaling by FGFR;Signaling by TGF-beta family members;Signaling by EGFR;Signaling by PTK6;Vesicle-mediated transport	RNA	Endogenous	01	0.910429534221052	0
CCL1	CCL1	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.926671319789133	0
CCL16	CCL16	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.926697984535206	0
CCL20	CCL20	All Probes;Interleukin-10 signaling;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.642219357941765	0
CCL21	CCL21	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.56383917533825	0
CCL25	CCL25	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.922543880367146	0
CCL26	CCL26	All Probes	RNA	Endogenous	01	0.913481153944929	0
CCL28	CCL28	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.894683113193067	0
CCL7	CCL7	All Probes;GPCR ligand binding	RNA	Endogenous	01	0.907663436662875	0
CCL8	CCL8	All Probes	RNA	Endogenous	01	0.934050497032398	0
CCNA1	CCNA1	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;DNA Repair;Post-translational protein modification	RNA	Endogenous	01	0.9070722135125	0
CCNA2	CCNA2	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;DNA Repair;Post-translational protein modification	RNA	Endogenous	01	0.864983742182279	0
CCNB1	CCNB1	All Probes;Cell Cycle;Transcriptional Regulation by TP53;Transcriptional regulation by RUNX2	RNA	Endogenous	01	0.871848977677469	0
CCNB3	CCNB3	All Probes	RNA	Endogenous	01	0.930341421797464	0
CCND1	CCND1	All Probes;Cell Cycle;Signaling by NOTCH;Chromatin modifying enzymes;Signaling by Nuclear Receptors;Interleukin-4 and Interleukin-13 signaling;Transcriptional regulation by RUNX1;Transcriptional regulation by RUNX2;Signaling by PTK6	RNA	Endogenous	01	0.27700123865105	0
CCND2	CCND2	All Probes;Cell Cycle;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.67075890683746	0
CCND3	CCND3	All Probes;Cell Cycle;Transcriptional regulation of white adipocyte differentiation;MAPK family signaling cascades;Transcriptional regulation by RUNX1	RNA	Endogenous	01	0.545507993757661	0
CCNE1	CCNE1	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;Signaling by PTK6;Chaperonin-mediated protein folding	RNA	Endogenous	01	0.905878016408589	0
CCNE2	CCNE2	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;Chaperonin-mediated protein folding	RNA	Endogenous	01	0.868817235851403	0
CCNO	CCNO	All Probes	RNA	Endogenous	01	0.802481367021798	0
CCR1	CCR1	All Probes;Interleukin-10 signaling;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.847078163818045	0
CCR3	CCR3	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.928723497293732	0
CCR6	CCR6	All Probes;Antimicrobial peptides;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.826776642966318	0
CCR9	CCR9	All Probes;GPCR ligand binding;GPCR downstream signalling	RNA	Endogenous	01	0.923649032263624	0
CCRL2	CCRL2	All Probes;GPCR ligand binding	RNA	Endogenous	01	0.899535280507786	0
CD164	CD164	All Probes	RNA	Endogenous	01	0.558006180223562	0
CD180	CD180	All Probes;Toll-like Receptor Cascades	RNA	Endogenous	01	0.785724521497088	0
CD27	CD27	All Probes;TNFR2 non-canonical NF-kB pathway	RNA	Endogenous	01	0.633611254987614	0.2
CD274	CD274	All Probes;Costimulation by the CD28 family	RNA	Endogenous	01	0.944609457342742	0
CD276	CD276	All Probes	RNA	Endogenous	01	0.730037824961833	0
CD300A	CD300A	All Probes;Neutrophil degranulation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	RNA	Endogenous	01	0.932319839242663	0
CD33	CD33	All Probes;Neutrophil degranulation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	RNA	Endogenous	01	0.834557307713634	0
CD38	CD38	All Probes;Metabolism of vitamins and cofactors	RNA	Endogenous	01	0.786614416209114	0
CD4	CD4	All Probes;TCR signaling;Other interleukin signaling;Costimulation by the CD28 family;Antimicrobial peptides;Vesicle-mediated transport	RNA	Endogenous	01	0.692200729170039	0
CD47	CD47	All Probes;Neutrophil degranulation;Cell-Cell communication;Cell surface interactions at the vascular wall;Extracellular matrix organization	RNA	Endogenous	01	0.531137815486758	0
CD48	CD48	All Probes;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.696183873360843	0
CD53	CD53	All Probes;Neutrophil degranulation	RNA	Endogenous	01	0.667070617376669	0
CD55	CD55	All Probes;Neutrophil degranulation;Post-translational protein modification;Vesicle-mediated transport;Complement cascade;GPCR ligand binding	RNA	Endogenous	01	0.215425780077229	0
CD58	CD58	All Probes;Neutrophil degranulation;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.828272126500496	0
CD59	CD59	All Probes;Neutrophil degranulation;Post-translational protein modification;Vesicle-mediated transport;Complement cascade	RNA	Endogenous	01	0.536681801436898	0
CD63	CD63	All Probes;Neutrophil degranulation;Platelet activation, signaling and aggregation	RNA	Endogenous	01	0.465747539262559	0
CD69	CD69	All Probes	RNA	Endogenous	01	0.751615653111353	0
CD74	CD74	All Probes;MHC class II antigen presentation;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.792833476372243	0
CD81	CD81	All Probes;Complement cascade;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	RNA	Endogenous	01	0.627676237885286	0
CD83	CD83	All Probes	RNA	Endogenous	01	0.808472850112166	0
CD84	CD84	All Probes;Cell surface interactions at the vascular wall	RNA	Endogenous	01	0.732557102559629	0
CD86	CD86	All Probes;Intracellular signaling by second messengers;Interleukin-10 signaling;Costimulation by the CD28 family;Diseases of signal transduction	RNA	Endogenous	01	0.869850362813602	0
CD9	CD9	All Probes;Platelet activation, signaling and aggregation	RNA	Endogenous	01	0.404141368108416	0
CD96	CD96	All Probes;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	RNA	Endogenous	01	0.716530162798957	0
CD99	CD99	All Probes;Cell surface interactions at the vascular wall;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	RNA	Endogenous	01	0.900273607876455	0
CDC14A	CDC14A	All Probes;Cell Cycle;MAPK family signaling cascades	RNA	Endogenous	01	0.843908008512119	0
CDC14B	CDC14B	All Probes;MAPK family signaling cascades	RNA	Endogenous	01	0.789474788179166	0
CDC20	CDC20	All Probes;Cell Cycle;Signaling by Rho GTPases;Post-translational protein modification;Class I MHC mediated antigen processing & presentation	RNA	Endogenous	01	0.840844733957316	0
CDC25A	CDC25A	All Probes;Cell Cycle;Post-translational protein modification	RNA	Endogenous	01	0.919494125452263	0
CDC25B	CDC25B	All Probes;Cell Cycle	RNA	Endogenous	01	0.753813298183705	0
CDC6	CDC6	All Probes;Cell Cycle	RNA	Endogenous	01	0.840423096473123	0
CDC7	CDC7	All Probes;Cell Cycle	RNA	Endogenous	01	0.914012797538375	0
CDH1	CDH1	All Probes;Signaling by Rho GTPases;Cell-Cell communication;Programmed Cell Death;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Extracellular matrix organization	RNA	Endogenous	01	0.194585376767627	0
CDK1	CDK1	All Probes;Cell Cycle;Organelle biogenesis and maintenance;Transcriptional Regulation by TP53;Post-translational protein modification;MAPK family signaling cascades;Transcriptional regulation by RUNX2	RNA	Endogenous	01	0.864197719167825	0
CDK2	CDK2	All Probes;Cell Cycle;Cellular responses to external stimuli;Transcriptional Regulation by TP53;DNA Repair;Factors involved in megakaryocyte development and platelet production;Transcriptional regulation of granulopoiesis;Signaling by PTK6	RNA	Endogenous	01	0.795942962345038	0
CDK4	CDK4	All Probes;Cell Cycle;Transcriptional regulation of white adipocyte differentiation;Cellular responses to external stimuli;Chromatin modifying enzymes;Transcriptional regulation by RUNX2;Transcriptional regulation of granulopoiesis;Signaling by PTK6	RNA	Endogenous	01	0.570423276754066	0
CDKN1A	CDKN1A	All Probes;Intracellular signaling by second messengers;Cell Cycle;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors;Cellular responses to external stimuli;Transcriptional Regulation by TP53;Diseases of signal transduction;Interleukin-4 and Interleukin-13 signaling;Transcriptional regulation by RUNX2;Transcriptional regulation of granulopoiesis;FOXO-mediated transcription	RNA	Endogenous	01	0.690784637465763	0
CDKN1B	CDKN1B	All Probes;Intracellular signaling by second messengers;Cell Cycle;Signaling by Rho GTPases;Cellular responses to external stimuli;Transcriptional Regulation by TP53;Signaling by Nuclear Receptors;Diseases of signal transduction;Signaling by PTK6;FOXO-mediated transcription	RNA	Endogenous	01	0.877486955329932	0
CDKN2B	CDKN2B	All Probes;Cell Cycle;Cellular responses to external stimuli;Signaling by TGF-beta family members	RNA	Endogenous	01	0.899137525754094	0
CDKN2C	CDKN2C	All Probes;Cell Cycle;Cellular responses to external stimuli	RNA	Endogenous	01	0.915293030313157	0
CDKN2D	CDKN2D	All Probes;Cell Cycle;Cellular responses to external stimuli	RNA	Endogenous	01	0.905246507219395	0
CEACAM1	CEACAM1	All Probes;Neutrophil degranulation;Cell surface interactions at the vascular wall;Extracellular matrix organization	RNA	Endogenous	01	0.298269585443785	0
CEACAM6	CEACAM6	All Probes;Neutrophil degranulation;Cell surface interactions at the vascular wall;Extracellular matrix organization	RNA	Endogenous	01	0.213508430689666	0
CEACAM8	CEACAM8	All Probes;Neutrophil degranulation;Cell surface interactions at the vascular wall;Extracellular matrix organization	RNA	Endogenous	01	0.811845559082697	0
CEBPE	CEBPE	All Probes;Transcriptional regulation of granulopoiesis	RNA	Endogenous	01	0.911598215175079	0
CENPF	CENPF	All Probes;Cell Cycle;Signaling by Rho GTPases	RNA	Endogenous	01	0.834357460855707	0
CEP55	CEP55	All Probes	RNA	Endogenous	01	0.921373999389579	0
CES3	CES3	All Probes;Transport of small molecules	RNA	Endogenous	01	0.213654884663595	0
CFB	CFB	All Probes;Complement cascade	RNA	Endogenous	01	0.419308276251303	0
CFI	CFI	All Probes;Complement cascade	RNA	Endogenous	01	0.444115297246744	0
CHEK1	CHEK1	All Probes;Cell Cycle;Transcriptional Regulation by TP53;DNA Repair	RNA	Endogenous	01	0.88025503095484	0
